CI Name (aff);CI Type (aff);CI Subtype (aff);Service Comp WBS (aff);Interaction ID;Status;Impact;Urgency;Priority;Category;KM number;Open Time (First Touch);Close Time;Closure Code;First Call Resolution;Handle Time (secs);Related Incident
SUB000427;subapplication;Web Based Application;WBS000073;SD0037719;Closed;4;4;4;incident;KM0001729;13-11-2013 14:53;13-11-2013 15:03;User manual not used;Y;594;
MON00015;displaydevice;Monitor;WBS000091;SD0037720;Closed;5;4;4;request for information;KM0001404;13-11-2013 12:07;13-11-2013 12:13;Other;Y;368;
SBA000263;application;Server Based Application;WBS000072;SD0037721;Closed;5;5;5;request for information;KM0000245;13-11-2013 12:14;13-11-2013 16:03;Other;N;54;IM0012648
DTA000057;application;Desktop Application;WBS000094;SD0037722;Closed;5;5;5;request for information;KM0001242;13-11-2013 12:19;13-11-2013 12:20;No error - works as designed;Y;70;
SAN000182;storage;SAN;WBS000128;SD0037723;Closed;4;4;4;incident;KM0002125;13-11-2013 12:22;13-11-2013 12:26;Other;Y;241;
SBA000659;application;Server Based Application;WBS000128;SD0037724;Closed;5;5;5;request for information;KM0001935;13-11-2013 12:25;13-11-2013 12:39;Questions;Y;859;
DTA000057;application;Desktop Application;WBS000094;SD0037725;Closed;5;5;5;request for information;KM0001809;13-11-2013 12:26;13-11-2013 12:42;Other;Y;949;
SBA000263;application;Server Based Application;WBS000072;SD0037726;Closed;5;5;5;request for information;KM0000244;13-11-2013 12:27;13-11-2013 16:07;Other;N;123;IM0013287
SUB000533;subapplication;Web Based Application;WBS000073;SD0037727;Closed;4;4;4;incident;KM0001295;13-11-2013 12:28;13-11-2013 12:32;Other;Y;233;
SBA000659;application;Server Based Application;WBS000128;SD0037728;Closed;5;5;5;incident;KM0001534;13-11-2013 12:28;13-11-2013 12:37;Other;Y;526;
SAN000182;storage;SAN;WBS000128;SD0037729;Closed;4;4;4;incident;KM0002125;13-11-2013 12:40;13-11-2013 12:44;Other;Y;461;
SUB000442;subapplication;Web Based Application;WBS000125;SD0037730;Closed;4;4;4;incident;KM0000732;13-11-2013 12:40;13-11-2013 12:54;Software;Y;791;
WBA000058;application;Web Based Application;WBS000073;SD0037731;Closed;4;4;4;incident;KM0002043;13-11-2013 12:47;13-11-2013 13:11;Software;N;369;IM0013288
SBA000439;application;Server Based Application;WBS000219;SD0037732;Closed;5;5;5;request for information;KM0002079;13-11-2013 12:47;13-11-2013 12:52;Software;Y;311;
SBA000439;application;Server Based Application;WBS000219;SD0037733;Closed;5;5;5;request for information;KM0002084;13-11-2013 12:54;19-11-2013 8:37;User manual not used;N;2269;IM0013290
DTA000616;application;Desktop Application;WBS000092;SD0037734;Closed;5;5;5;request for information;KM0000507;13-11-2013 12:54;13-11-2013 12:59;User manual not used;Y;494;
WBA000133;application;Web Based Application;WBS000073;SD0037735;Closed;4;4;4;incident;KM0001289;13-11-2013 13:03;13-11-2013 13:07;Software;Y;194;
SBA000805;application;Server Based Application;WBS000016;SD0037736;Closed;5;5;5;request for information;KM0002069;13-11-2013 13:06;13-11-2013 13:23;Referred;Y;990;
WBA000128;application;Web Based Application;WBS000002;SD0037737;Closed;5;5;5;incident;KM0000687;13-11-2013 13:10;18-11-2013 16:05;Other;N;1790;IM0013292
CBD000611;computer;Banking Device;WBS000146;SD0037738;Closed;3;3;3;incident;KM0000274;13-11-2013 13:20;15-11-2013 12:40;;N;361;IM0013289
SUB000424;subapplication;Web Based Application;WBS000073;SD0037739;Closed;4;4;4;incident;KM0001296;13-11-2013 13:26;13-11-2013 16:58;Operator error;N;936;IM0013293
WBA000133;application;Web Based Application;WBS000073;SD0037740;Closed;3;3;3;incident;KM0000773;13-11-2013 13:27;13-11-2013 13:32;Other;Y;298;
SBA000317;application;Server Based Application;WBS000048;SD0037741;Closed;5;5;5;incident;KM0000310;13-11-2013 13:33;28-11-2013 8:21;No error - works as designed;N;420;IM0013291
WBA000133;application;Web Based Application;WBS000073;SD0037742;Closed;3;3;3;incident;KM0000773;13-11-2013 13:35;13-11-2013 13:39;Software;Y;366;
SSW000068;software;System Software;WBS000134;SD0037743;Closed;5;5;5;incident;KM0002048;13-11-2013 13:36;13-11-2013 13:45;No error - works as designed;Y;2030;
DTA000057;application;Desktop Application;WBS000094;SD0037744;Closed;5;5;5;request for information;KM0001809;13-11-2013 13:37;13-11-2013 13:42;Other;Y;323;
WBA000133;application;Web Based Application;WBS000073;SD0037745;Closed;4;5;4;incident;KM0000711;13-11-2013 13:46;13-11-2013 13:49;Referred;Y;187;
SUB000443;subapplication;Web Based Application;WBS000125;SD0037746;Closed;5;5;5;incident;KM0000727;13-11-2013 13:48;13-11-2013 13:55;Other;Y;379;
SBA000607;application;Server Based Application;WBS000263;SD0037747;Closed;5;5;5;request for information;KM0001877;13-11-2013 13:49;13-11-2013 13:51;Referred;Y;85;
SBA000464;application;Server Based Application;WBS000073;SD0037748;Closed;4;4;4;incident;KM0001314;13-11-2013 13:51;13-11-2013 14:00;No error - works as designed;Y;577;
DTA000616;application;Desktop Application;WBS000092;SD0037749;Closed;4;4;4;incident;KM0000506;13-11-2013 13:54;13-11-2013 13:59;User error;Y;317;
SBA000026;application;Server Based Application;WBS000223;SD0037750;Closed;4;4;4;incident;KM0000032;13-11-2013 14:00;13-11-2013 14:08;Other;Y;969;
DTA000036;application;Desktop Application;WBS000093;SD0037751;Closed;4;4;4;incident;KM0001899;13-11-2013 14:01;18-11-2013 15:20;Operator error;N;1648;IM0013295
SUB000443;subapplication;Web Based Application;WBS000125;SD0037752;Closed;5;5;5;incident;KM0000727;13-11-2013 14:01;13-11-2013 14:16;Software;Y;871;
SUB000546;subapplication;Web Based Application;WBS000162;SD0037753;Closed;5;5;5;incident;KM0001615;13-11-2013 14:04;13-11-2013 14:16;Referred;Y;711;
CBA000002;application;Client Based Application;WBS000319;SD0037754;Closed;4;4;4;incident;KM0001673;13-11-2013 14:04;14-11-2013 15:13;Unknown;N;290;IM0013294
SUB000443;subapplication;Web Based Application;WBS000125;SD0037755;Closed;4;4;4;incident;KM0000985;13-11-2013 14:04;13-11-2013 14:05;Software;Y;30;
SBA000357;application;Server Based Application;WBS000216;SD0037756;Closed;5;5;5;incident;KM0000906;13-11-2013 14:10;20-11-2013 13:26;Unknown;N;1470;IM0013296
SBA000659;application;Server Based Application;WBS000128;SD0037757;Closed;5;5;5;request for information;KM0001935;13-11-2013 14:11;13-11-2013 14:22;User error;Y;661;
WBA000003;application;Web Based Application;WBS000005;SD0037758;Closed;4;4;4;incident;KM0001100;13-11-2013 14:12;13-11-2013 14:19;Other;Y;450;
WBA000103;application;Web Based Application;WBS000073;SD0037759;Closed;4;4;4;incident;KM0001197;13-11-2013 14:13;13-11-2013 14:16;Other;Y;204;
COM000003;computer;Omgeving;WBS000098;SD0037760;Closed;5;5;5;request for information;KM0001385;13-11-2013 14:18;13-11-2013 14:50;User manual not used;Y;1952;
SUB000456;subapplication;Web Based Application;WBS000073;SD0037761;Closed;4;4;4;incident;KM0000996;13-11-2013 14:23;13-11-2013 14:25;Other;Y;83;
SBA000088;application;Server Based Application;WBS000017;SD0037762;Closed;5;5;5;incident;KM0000096;13-11-2013 14:25;13-11-2013 14:31;Other;Y;351;
SBA000659;application;Server Based Application;WBS000128;SD0037763;Closed;5;5;5;request for information;KM0001935;13-11-2013 14:27;13-11-2013 14:31;Questions;Y;272;
DTA000057;application;Desktop Application;WBS000094;SD0037764;Closed;5;5;5;incident;KM0000536;13-11-2013 14:27;13-11-2013 14:30;User manual not used;Y;210;
SBA000439;application;Server Based Application;WBS000219;SD0037765;Closed;5;5;5;request for information;KM0002083;13-11-2013 14:27;13-11-2013 14:40;Other;Y;788;
WSR000927;computer;Windows Server;WBS000102;SD0037766;Closed;5;5;5;incident;KM0000970;13-11-2013 14:28;13-11-2013 14:32;Other;Y;484;
SBA000729;application;Server Based Application;WBS000101;SD0037767;Closed;4;4;4;incident;KM0001352;13-11-2013 14:28;13-11-2013 14:32;Other;Y;191;
SUB000426;subapplication;Web Based Application;WBS000073;SD0037768;Closed;4;4;4;incident;KM0001184;13-11-2013 14:36;13-11-2013 14:45;Software;Y;506;
SBA000462;application;Server Based Application;WBS000073;SD0037769;Closed;4;4;4;incident;KM0001828;13-11-2013 14:39;13-11-2013 15:01;Software;N;212;IM0013297
SUB000456;subapplication;Web Based Application;WBS000073;SD0037770;Closed;4;4;4;incident;KM0000764;13-11-2013 14:39;13-11-2013 17:07;Data;N;462;IM0013299
SBA000061;application;Server Based Application;WBS000245;SD0037771;Closed;4;4;4;incident;KM0001322;13-11-2013 14:43;14-11-2013 9:27;User error;N;473;IM0013300
SBA000659;application;Server Based Application;WBS000128;SD0037772;Closed;5;5;5;request for information;KM0000621;13-11-2013 14:46;13-11-2013 14:53;Other;Y;431;
DTA000027;application;Desktop Application;WBS000217;SD0037773;Closed;4;4;4;incident;KM0001145;13-11-2013 14:47;21-11-2013 9:48;Software;N;472;IM0013303
DTA000027;application;Desktop Application;WBS000217;SD0037774;Closed;4;4;4;incident;KM0001145;13-11-2013 14:47;21-11-2013 9:41;Software;N;457;IM0013302
DTA000027;application;Desktop Application;WBS000217;SD0037775;Closed;4;4;4;incident;KM0001145;13-11-2013 14:47;2-12-2013 13:17;Other;N;448;IM0013301
DTA000591;application;Desktop Application;WBS000092;SD0037776;Closed;5;5;5;request for information;KM0000469;13-11-2013 14:47;13-11-2013 14:57;Other;Y;576;
WBA000144;application;Web Based Application;WBS000318;SD0037777;Closed;4;4;4;incident;KM0000846;13-11-2013 14:51;14-11-2013 13:20;User error;N;705;IM0013304
SBA000338;application;Server Based Application;WBS000169;SD0037778;Closed;4;4;4;incident;KM0000327;13-11-2013 14:55;13-11-2013 15:00;Other;Y;245;
SUB000426;subapplication;Web Based Application;WBS000073;SD0037779;Closed;4;4;4;incident;KM0000707;13-11-2013 14:56;13-11-2013 15:00;Software;Y;252;
SUB000456;subapplication;Web Based Application;WBS000073;SD0037780;Closed;4;4;4;incident;KM0001096;13-11-2013 14:59;13-11-2013 15:24;Operator error;N;714;IM0013305
SBA000439;application;Server Based Application;WBS000219;SD0037781;Closed;5;5;5;request for information;KM0002083;13-11-2013 15:00;13-11-2013 15:05;Software;Y;324;
APP000005;application;Citrix;WBS000292;SD0037782;Closed;4;4;4;incident;KM0001131;13-11-2013 15:01;13-11-2013 15:06;Other;Y;295;
SBA000659;application;Server Based Application;WBS000128;SD0037783;Closed;5;5;5;request for information;KM0001935;13-11-2013 15:02;13-11-2013 15:08;Questions;Y;331;
SBA000439;application;Server Based Application;WBS000219;SD0037784;Closed;5;5;5;request for information;KM0001860;13-11-2013 15:03;13-11-2013 15:08;Other;Y;295;
SBA000295;application;Server Based Application;WBS000268;SD0037785;Closed;4;4;4;incident;KM0000368;13-11-2013 15:05;13-11-2013 15:18;Software;Y;775;
DTA000053;application;Desktop Application;WBS000130;SD0037786;Closed;5;5;5;incident;KM0000472;13-11-2013 15:10;13-11-2013 15:14;Other;Y;202;
SBA000439;application;Server Based Application;WBS000219;SD0037787;Closed;5;5;5;request for information;KM0001851;13-11-2013 15:11;13-11-2013 15:24;Software;Y;778;
SBA000729;application;Server Based Application;WBS000101;SD0037788;Closed;4;4;4;incident;KM0000862;13-11-2013 15:12;13-11-2013 15:18;Other;Y;332;
DTA000027;application;Desktop Application;WBS000217;SD0037789;Closed;5;5;5;incident;KM0001145;13-11-2013 15:15;13-11-2013 15:27;Software;Y;722;
SUB000456;subapplication;Web Based Application;WBS000073;SD0037790;Closed;4;4;4;incident;KM0000741;13-11-2013 15:15;13-11-2013 15:19;Other;Y;193;
SBA000659;application;Server Based Application;WBS000128;SD0037791;Closed;5;5;5;request for information;KM0000621;13-11-2013 15:16;13-11-2013 15:20;Other;Y;273;
COM000003;computer;Omgeving;WBS000098;SD0037792;Closed;4;4;4;incident;KM0000911;13-11-2013 15:17;13-11-2013 15:23;Software;Y;352;
SAN000182;storage;SAN;WBS000128;SD0037793;Closed;5;5;5;request for information;KM0000998;13-11-2013 13:19;13-11-2013 13:21;Referred;Y;142;
WBA000133;application;Web Based Application;WBS000073;SD0037794;Closed;4;4;4;incident;KM0001289;13-11-2013 13:23;13-11-2013 13:29;Software;Y;385;
SUB000426;subapplication;Web Based Application;WBS000073;SD0037795;Closed;4;4;4;incident;KM0000707;13-11-2013 13:24;13-11-2013 13:26;Unknown;Y;206;
SBA000747;application;Server Based Application;WBS000326;SD0037796;Closed;3;3;3;incident;KM0001492;13-11-2013 13:27;13-11-2013 13:30;User manual not used;Y;161;
WBA000133;application;Web Based Application;WBS000073;SD0037797;Closed;5;5;5;incident;KM0001261;13-11-2013 13:27;13-11-2013 13:29;Unknown;Y;76;
SBA000659;application;Server Based Application;WBS000128;SD0037798;Closed;5;5;5;request for information;KM0001935;13-11-2013 13:29;13-11-2013 13:31;Questions;Y;159;
SBA000439;application;Server Based Application;WBS000219;SD0037799;Closed;5;5;5;request for information;KM0002081;13-11-2013 13:29;13-11-2013 13:38;Software;Y;546;
SBA000464;application;Server Based Application;WBS000073;SD0037800;Closed;4;4;4;incident;KM0001314;13-11-2013 13:33;14-11-2013 10:17;Software;N;714;IM0013235
CBD001150;computer;Banking Device;WBS000147;SD0037801;Closed;3;3;3;request for information;KM0000132;13-11-2013 13:40;13-11-2013 13:43;User error;Y;175;
SBA000834;application;Server Based Application;WBS000223;SD0037802;Closed;4;4;4;incident;KM0001308;13-11-2013 13:41;14-11-2013 9:56;Software;N;557;IM0013236
WBA000133;application;Web Based Application;WBS000073;SD0037803;Closed;4;4;4;incident;KM0000734;13-11-2013 13:44;13-11-2013 13:49;Software;Y;256;
SUB000426;subapplication;Web Based Application;WBS000073;SD0037804;Closed;4;4;4;request for information;KM0000708;13-11-2013 13:54;13-11-2013 13:54;Inquiry;N;1096;IM0012007
DTA000616;application;Desktop Application;WBS000092;SD0037805;Closed;3;3;3;incident;KM0001373;13-11-2013 13:54;14-11-2013 12:48;Software;N;361;IM0013237
SBA000659;application;Server Based Application;WBS000128;SD0037806;Closed;5;5;5;request for information;KM0000619;13-11-2013 13:54;13-11-2013 13:57;Other;Y;185;
SUB000424;subapplication;Web Based Application;WBS000073;SD0037807;Closed;5;5;5;incident;KM0001538;13-11-2013 13:54;13-11-2013 13:59;No error - works as designed;Y;298;
SBA000172;application;Server Based Application;WBS000014;SD0037808;Closed;3;3;3;incident;KM0000426;13-11-2013 13:56;13-11-2013 14:01;Other;Y;531;
SBA000172;application;Server Based Application;WBS000014;SD0037809;Closed;3;3;3;incident;KM0000426;13-11-2013 14:01;13-11-2013 14:10;Software;Y;515;
EXC000004;application;Exchange;WBS000094;SD0037810;Closed;4;3;3;request for information;KM0001232;13-11-2013 14:02;14-11-2013 9:33;Software;N;1306;IM0013239
WBA000011;application;Web Based Application;WBS000152;SD0037811;Closed;5;5;5;incident;KM0001626;13-11-2013 14:04;19-11-2013 17:01;Operator error;N;759;IM0013238
SAN000182;storage;SAN;WBS000128;SD0037812;Closed;5;5;5;incident;KM0000450;13-11-2013 14:05;13-11-2013 14:05;Operator error;Y;54;
WBA000133;application;Web Based Application;WBS000073;SD0037813;Closed;4;4;4;incident;KM0001465;13-11-2013 14:07;13-11-2013 14:15;No error - works as designed;Y;495;
SBA000659;application;Server Based Application;WBS000128;SD0037814;Closed;5;5;5;request for information;KM0001935;13-11-2013 14:10;13-11-2013 14:11;Questions;Y;107;
SBA000659;application;Server Based Application;WBS000128;SD0037815;Closed;5;5;5;request for information;KM0001935;13-11-2013 14:12;13-11-2013 14:32;Questions;Y;1223;
WBA000144;application;Web Based Application;WBS000318;SD0037816;Closed;5;5;5;incident;KM0000841;13-11-2013 14:14;13-11-2013 14:24;Software;Y;641;
WBA000148;application;Web Based Application;WBS000172;SD0037817;Closed;5;5;5;incident;KM0001979;13-11-2013 14:15;13-11-2013 14:24;Referred;Y;570;
SUB000456;subapplication;Web Based Application;WBS000073;SD0037818;Closed;4;4;4;incident;KM0001089;13-11-2013 14:15;13-11-2013 14:16;Other;Y;40;
APP000005;application;Citrix;WBS000292;SD0037819;Closed;4;4;4;incident;KM0001062;13-11-2013 14:20;13-11-2013 14:27;Software;Y;447;
DTA000036;application;Desktop Application;WBS000093;SD0037820;Closed;4;4;4;incident;KM0001899;13-11-2013 14:21;13-11-2013 15:01;Software;Y;2356;
DTA000019;application;Desktop Application;WBS000093;SD0037821;Closed;4;4;4;incident;KM0001186;13-11-2013 14:22;14-11-2013 10:09;Software;N;531;IM0013241
APP000005;application;Citrix;WBS000292;SD0037822;Closed;4;4;4;incident;KM0001476;13-11-2013 14:27;13-11-2013 14:42;Other;Y;1829;
DTA000019;application;Desktop Application;WBS000093;SD0037823;Closed;4;4;4;incident;KM0001186;13-11-2013 14:28;14-11-2013 10:07;Software;N;138;IM0013240
DTA000019;application;Desktop Application;WBS000093;SD0037824;Closed;4;4;4;incident;KM0001186;13-11-2013 14:29;14-11-2013 14:46;Hardware;N;129;IM0013242
SBA000805;application;Server Based Application;WBS000016;SD0037825;Closed;3;3;3;incident;KM0000938;13-11-2013 14:32;13-11-2013 14:35;Unknown;Y;170;
WBA000144;application;Web Based Application;WBS000318;SD0037826;Closed;5;5;5;incident;KM0000836;13-11-2013 14:32;13-11-2013 14:38;User error;Y;348;
WBA000060;application;Web Based Application;WBS000073;SD0037827;Closed;4;4;4;incident;KM0001228;13-11-2013 14:32;13-11-2013 14:36;Unknown;Y;197;
SBA000017;application;Server Based Application;WBS000099;SD0037828;Closed;3;3;3;incident;KM0000480;13-11-2013 14:33;13-11-2013 15:01;User error;N;100;IM0013243
SBA000439;application;Server Based Application;WBS000219;SD0037829;Closed;5;5;5;request for information;KM0001851;13-11-2013 14:39;13-11-2013 15:00;Unknown;Y;1315;
COM000003;computer;Omgeving;WBS000098;SD0037830;Closed;4;4;4;incident;KM0000911;13-11-2013 14:42;13-11-2013 14:47;User error;Y;311;
SBA000659;application;Server Based Application;WBS000128;SD0037831;Closed;5;5;5;request for information;KM0001935;13-11-2013 14:44;13-11-2013 14:56;Questions;Y;698;
WBA000144;application;Web Based Application;WBS000318;SD0037832;Closed;5;5;5;incident;KM0000836;13-11-2013 14:45;13-11-2013 14:51;Software;Y;348;
SBA000439;application;Server Based Application;WBS000219;SD0037833;Closed;5;5;5;request for information;KM0002017;13-11-2013 14:47;13-11-2013 14:48;Software;Y;78;
SUB000533;subapplication;Web Based Application;WBS000073;SD0037834;Closed;4;4;4;incident;KM0001892;13-11-2013 14:48;13-11-2013 15:39;Operator error;N;239;IM0013244
WBA000077;application;Web Based Application;WBS000153;SD0037835;Closed;3;3;3;incident;KM0000417;13-11-2013 14:48;24-12-2013 13:46;Other;N;322;IM0013245
SBA000462;application;Server Based Application;WBS000073;SD0037836;Closed;4;4;4;incident;KM0001366;13-11-2013 14:52;2-12-2013 16:09;Unknown;N;562;IM0011952
SBA000729;application;Server Based Application;WBS000101;SD0037837;Closed;4;4;4;incident;KM0000866;13-11-2013 14:53;18-11-2013 10:12;Other;N;868;IM0013246
SAN000178;storage;SAN;WBS000128;SD0037838;Closed;5;5;5;request for information;KM0001150;13-11-2013 14:55;13-11-2013 15:00;User error;Y;313;
DTA000048;application;Desktop Application;WBS000218;SD0037839;Closed;4;4;4;incident;KM0001423;13-11-2013 14:58;13-11-2013 15:15;Other;Y;1980;
SBA000439;application;Server Based Application;WBS000219;SD0037840;Closed;5;5;5;request for information;KM0001851;13-11-2013 15:01;13-11-2013 15:06;Software;Y;306;
WBA000133;application;Web Based Application;WBS000073;SD0037841;Closed;4;4;4;incident;KM0001311;13-11-2013 15:01;13-11-2013 15:04;Other;Y;186;
WBA000058;application;Web Based Application;WBS000073;SD0037842;Closed;4;4;4;incident;KM0000819;13-11-2013 15:04;13-11-2013 15:51;Software;N;411;IM0013247
SBA000624;application;Server Based Application;WBS000256;SD0037843;Closed;4;4;4;incident;KM0000601;13-11-2013 15:05;13-11-2013 15:07;Software;Y;110;
SBA000659;application;Server Based Application;WBS000128;SD0037844;Closed;5;5;5;request for information;KM0001935;13-11-2013 15:09;13-11-2013 15:11;Questions;Y;114;
SUB000456;subapplication;Web Based Application;WBS000073;SD0037845;Closed;4;4;4;incident;KM0000751;13-11-2013 15:09;13-11-2013 15:13;Software;Y;198;
SSW000068;software;System Software;WBS000134;SD0037846;Closed;4;3;3;incident;KM0000192;13-11-2013 15:10;13-11-2013 15:11;Software;Y;69;
SBA000659;application;Server Based Application;WBS000128;SD0037847;Closed;5;5;5;request for information;KM0001935;13-11-2013 15:11;13-11-2013 15:16;Questions;Y;320;
COM000003;computer;Omgeving;WBS000098;SD0037848;Closed;5;5;5;request for information;KM0001385;13-11-2013 15:13;13-11-2013 15:18;User manual not used;Y;271;
WBA000144;application;Web Based Application;WBS000318;SD0037849;Closed;4;4;4;incident;KM0000839;13-11-2013 15:13;13-11-2013 15:44;No error - works as designed;N;343;IM0013405
SBA000439;application;Server Based Application;WBS000219;SD0037850;Closed;5;5;5;request for information;KM0002017;13-11-2013 15:14;13-11-2013 15:30;Unknown;Y;940;
SBA000462;application;Server Based Application;WBS000073;SD0037851;Closed;4;4;4;incident;KM0001773;13-11-2013 15:16;13-11-2013 15:20;Software;Y;257;
SBA000462;application;Server Based Application;WBS000073;SD0037852;Closed;4;4;4;incident;KM0001363;13-11-2013 15:19;21-11-2013 8:49;Software;N;662;IM0013406
SBA000659;application;Server Based Application;WBS000128;SD0037853;Closed;5;5;5;request for information;KM0001935;13-11-2013 15:19;13-11-2013 15:22;Questions;Y;149;
SBA000747;application;Server Based Application;WBS000326;SD0037854;Closed;3;3;3;incident;KM0001699;13-11-2013 15:20;13-11-2013 15:37;Software;Y;1028;
SBA000025;application;Server Based Application;WBS000006;SD0037855;Closed;5;5;5;incident;KM0000029;13-11-2013 15:23;13-11-2013 15:35;Software;Y;722;
SAN000182;storage;SAN;WBS000128;SD0037856;Closed;4;4;4;incident;KM0000301;13-11-2013 15:24;13-11-2013 15:29;Software;Y;269;
WBA000011;application;Web Based Application;WBS000152;SD0037857;Closed;5;5;5;incident;KM0001724;13-11-2013 15:27;20-11-2013 16:21;Software;N;0;IM0013391
SBA000812;application;Server Based Application;WBS000223;SD0037858;Closed;4;4;4;incident;KM0000949;13-11-2013 15:27;13-11-2013 15:32;Software;Y;322;
SUB000538;subapplication;Web Based Application;WBS000073;SD0037859;Closed;5;5;5;incident;KM0000848;13-11-2013 15:30;17-11-2013 13:42;User manual not used;N;339;IM0013407
SBA000439;application;Server Based Application;WBS000219;SD0037860;Closed;5;5;5;request for information;KM0001830;13-11-2013 15:31;13-11-2013 15:35;Software;Y;240;
DTA000255;application;Desktop Application;WBS000098;SD0037861;Closed;4;4;4;incident;KM0000917;13-11-2013 15:35;13-11-2013 15:44;Software;Y;519;
SBA000026;application;Server Based Application;WBS000223;SD0037862;Closed;4;4;4;incident;KM0000032;13-11-2013 15:36;13-11-2013 15:43;Software;Y;394;
SUB000524;subapplication;Web Based Application;WBS000073;SD0037863;Closed;5;5;5;incident;KM0001844;13-11-2013 15:40;13-11-2013 15:42;No error - works as designed;Y;152;
DTA000064;application;Desktop Application;WBS000094;SD0037864;Closed;5;5;5;request for information;KM0000543;13-11-2013 13:22;13-11-2013 13:38;Other;Y;964;
SUB000424;subapplication;Web Based Application;WBS000073;SD0037865;Closed;5;5;5;incident;KM0001344;13-11-2013 13:22;13-11-2013 13:23;Other;Y;41;
WBA000077;application;Web Based Application;WBS000153;SD0037866;Closed;5;5;5;request for information;KM0000415;13-11-2013 13:23;13-11-2013 13:38;Other;Y;845;
DTA000057;application;Desktop Application;WBS000094;SD0037867;Closed;5;5;5;incident;KM0001205;13-11-2013 13:24;13-11-2013 13:28;User error;Y;246;
SAN000182;storage;SAN;WBS000128;SD0037868;Closed;4;4;4;incident;KM0002126;13-11-2013 13:28;14-11-2013 10:03;Other;N;69;IM0013329
APP000005;application;Citrix;WBS000292;SD0037869;Closed;4;4;4;incident;KM0002098;13-11-2013 13:28;13-11-2013 13:37;Software;Y;1083;
OVR000025;no type;no subtype;WBS000118;SD0037870;Closed;4;4;4;incident;KM0001146;13-11-2013 13:29;13-11-2013 13:31;Software;Y;165;
OVR000025;no type;no subtype;WBS000118;SD0037871;Closed;4;4;4;incident;KM0001146;13-11-2013 13:29;13-11-2013 17:48;Other;N;763;IM0013333
SUB000456;subapplication;Web Based Application;WBS000073;SD0037872;Closed;4;4;4;incident;KM0000768;13-11-2013 13:30;27-11-2013 11:34;Data;N;365;IM0013331
SAP000004;application;SAP;WBS000271;SD0037873;Closed;5;5;5;request for information;KM0001382;13-11-2013 13:31;18-11-2013 7:55;Other;N;56;IM0013330
SBA000698;application;Server Based Application;WBS000090;SD0037874;Closed;4;4;4;incident;KM0001526;13-11-2013 13:33;13-11-2013 13:36;Software;Y;162;
WBA000011;application;Web Based Application;WBS000152;SD0037875;Closed;5;5;5;incident;KM0000075;13-11-2013 13:33;14-11-2013 16:01;Other;N;631;IM0013334
SBA000516;application;Server Based Application;WBS000061;SD0037876;Closed;4;4;4;incident;KM0000478;13-11-2013 13:34;13-11-2013 15:16;User error;N;165;IM0013332
SUB000403;subapplication;Server Based Application;WBS000096;SD0037877;Closed;4;4;4;incident;KM0000961;13-11-2013 13:36;13-11-2013 13:37;User error;Y;65;
SUB000456;subapplication;Web Based Application;WBS000073;SD0037878;Closed;4;4;4;incident;KM0000996;13-11-2013 13:38;13-11-2013 13:56;Other;Y;1106;
SUB000113;subapplication;Server Based Application;WBS000095;SD0037879;Closed;5;5;5;request for information;KM0000225;13-11-2013 13:38;13-11-2013 13:43;Software;Y;301;
SBA000010;application;Server Based Application;WBS000186;SD0037880;Closed;4;4;4;incident;KM0001957;13-11-2013 13:40;13-11-2013 13:48;Software;Y;415;
SBA000263;application;Server Based Application;WBS000072;SD0037881;Closed;5;5;5;request for information;KM0001113;13-11-2013 13:41;13-11-2013 14:50;Other;N;137;IM0012546
SBA000266;application;Server Based Application;WBS000126;SD0037882;Closed;4;4;4;incident;KM0000222;13-11-2013 13:42;13-11-2013 14:03;Other;Y;1294;
LAP000002;computer;Laptop;WBS000091;SD0037883;Closed;4;3;3;incident;KM0001955;13-11-2013 13:45;13-11-2013 13:51;Unknown;Y;360;
SBA000439;application;Server Based Application;WBS000219;SD0037884;Closed;5;5;5;request for information;KM0002083;13-11-2013 13:48;13-11-2013 14:04;Other;Y;1905;
SUB000443;subapplication;Web Based Application;WBS000125;SD0037885;Closed;5;5;5;request for information;KM0000205;13-11-2013 13:49;14-11-2013 6:28;No error - works as designed;N;134;IM0012604
SAN000182;storage;SAN;WBS000128;SD0037886;Closed;4;4;4;incident;KM0002126;13-11-2013 13:52;13-11-2013 13:53;User manual not used;Y;64;
SAN000182;storage;SAN;WBS000128;SD0037887;Closed;4;4;4;incident;KM0002125;13-11-2013 13:53;13-11-2013 14:01;Other;Y;480;
APP000005;application;Citrix;WBS000292;SD0037888;Closed;4;4;4;incident;KM0001639;13-11-2013 13:54;13-11-2013 14:00;Software;Y;363;
SBA000464;application;Server Based Application;WBS000073;SD0037889;Closed;4;4;4;incident;KM0001314;13-11-2013 13:56;15-11-2013 9:13;Data;N;1238;IM0013336
SBA000464;application;Server Based Application;WBS000073;SD0037890;Closed;4;4;4;incident;KM0001316;13-11-2013 13:57;13-11-2013 13:57;User error;Y;51;
DTA000033;application;Desktop Application;WBS000234;SD0037891;Closed;5;4;4;incident;KM0001093;13-11-2013 13:58;13-11-2013 14:06;Other;Y;512;
SUB000424;subapplication;Web Based Application;WBS000073;SD0037892;Closed;4;4;4;incident;KM0000847;13-11-2013 14:04;13-11-2013 14:17;User error;Y;789;
